PortCode,IR
ZH957933,-10.779490343345195
ZH965439,-3.3322585344521864
ZH950872,-2.769245574936847
ZH960215,-2.4332610699332626
ZH939352,-1.7019475450775579
ZH933865,-1.6901609849193817
ZH933916,-1.376822411257749
ZH951613,-1.3685660540496407
ZH963739,-1.3409874114500222
ZH760734,-1.2018013916641443
ZH1001533,-1.177440110579422
ZH960476,-1.150099686697545
ZH967086,-1.1429304055342913
ZH892192,-1.1326871418696325
ZH1010888,-1.1283353143167538
ZH923822,-1.1191060967645998
ZH690833,-1.0972896549902011
ZH927015,-1.0856036287767288
ZH923243,-1.083430124720773
ZH901276,-1.0763347967475347
ZH973829,-1.0727964443465483
ZH936284,-1.072633600285532
ZH948215,-1.0708483385526726
ZH966428,-1.0701413322841682
ZH890477,-1.0690124567155448
ZH926641,-1.0193843868344785
ZH581692,-1.018999611886304
ZH941848,-1.0166325152990523
ZH935449,-1.0044393619547092
ZH952541,-0.9889373616884577
ZH964975,-0.9811536235258078
ZH962444,-0.9620015697931932
ZH949010,-0.9578031103917027
ZH700230,-0.9385940176623898
ZH955619,-0.935392928972569
ZH856780,-0.928246050429536
ZH914874,-0.9238954519917549
ZH950103,-0.9032118502645956
ZH966329,-0.9015834384721135
ZH921247,-0.8887107710615888
ZH408549,-0.8876712165892973
ZH966896,-0.8762266752375845
ZH941485,-0.8687210259513614
ZH979797,-0.864314619452001
ZH713735,-0.855550788243595
ZH856138,-0.8335308766212673
ZH824833,-0.8248114939633242
ZH714766,-0.8237945458873828
ZH836258,-0.817235749360777
ZH847854,-0.8110417572443259
ZH997557,-0.8071630366049581
ZH945840,-0.806588214822863
ZH703809,-0.7991291585315644
ZH892938,-0.7983556600702822
ZH950839,-0.7939666387937362
ZH948853,-0.7920240000187881
ZH792218,-0.7872378257176815
ZH848271,-0.7863576069195899
ZH921485,-0.7791084440465226
ZH962837,-0.778502617450616
ZH900524,-0.7737075289156032
ZH788505,-0.7733760022587707
ZH024592,-0.7697519780582134
ZH951674,-0.76529411375405
ZH903139,-0.7600544814188273
ZH895324,-0.7596151920916855
ZH935120,-0.7588446555750111
ZH940432,-0.7511680979765816
ZH738785,-0.7427891391403166
ZH969556,-0.7418531118268349
ZH881525,-0.7326916374710134
ZH902281,-0.7300905515801923
ZH821689,-0.7278539675944121
ZH875552,-0.7270251666781019
ZH939532,-0.7252376395839137
ZH816093,-0.722502564703119
ZH843614,-0.7201628915219107
ZH1007107,-0.7192891975809435
ZH145612,-0.7171205443085042
ZH001542,-0.7156772900038177
ZH873801,-0.7132373669980151
ZH659931,-0.7106227086459981
ZH930971,-0.7078080717314079
ZH930932,-0.7051519781140418
ZH921993,-0.7020030595614644
ZH099697,-0.7013568472752956
ZH938039,-0.696514500647396
ZH122892,-0.6909027645853466
ZH805749,-0.6886854865555945
ZH778926,-0.6864254065714793
ZH878335,-0.6861820726621594
ZH931147,-0.6796237266818105
ZH1007151,-0.6781482797280219
ZH847290,-0.6731962694652124
ZH946794,-0.6706355519521658
ZH934415,-0.6677687527111009
ZH1010332,-0.6668274397880257
ZH946040,-0.6645391378654358
ZH680420,-0.6623645718596068
ZH881042,-0.6609191191742484
ZH712698,-0.6595941805035382
ZH896406,-0.6551831566539876
ZH900442,-0.6547130532299534
ZH945202,-0.6543625690621414
ZH934359,-0.6536751196830144
ZH663450,-0.6534408778331757
ZH235920,-0.6520094440649908
ZH563555,-0.6517956420278099
ZH921433,-0.6499491763962884
ZH975106,-0.6488853744099822
ZH409248,-0.6467155254332871
ZH967543,-0.645039304822072
ZH988686,-0.6449255404887545
ZH338481,-0.6447318915233061
ZH896819,-0.6427983370387855
ZH950314,-0.6420238782132052
ZH926033,-0.6408470497697081
ZH911677,-0.6336394106905137
ZH416226,-0.6306917203325516
ZH922387,-0.6295574867909153
ZH891858,-0.629161084231794
ZH907701,-0.6289422513195341
ZH732310,-0.6277288661414371
ZH685467,-0.6272782202960766
ZH834712,-0.6239570606595716
ZH1000234,-0.6219417571689067
ZH598956,-0.6218810940123253
ZH752021,-0.6204750740881327
ZH913274,-0.6199479038189799
ZH939444,-0.6182170831934917
ZH939688,-0.6157178352647171
ZH937018,-0.6142899943072561
ZH937348,-0.6127658161330924
ZH742090,-0.6127139738687549
ZH764192,-0.6125620785967524
ZH256790,-0.6123752211124475
ZH691896,-0.610457875128395
ZH928116,-0.6104276843520893
ZH315027,-0.6076689303985272
ZH826348,-0.6051740675830509
ZH857067,-0.6007756900360246
ZH950813,-0.6001063273387159
ZH938680,-0.5993333621570467
ZH963080,-0.5991580110933767
ZH957449,-0.5984578311737849
ZH567271,-0.5975070268266585
ZH678088,-0.5947359119560338
ZH881135,-0.5939879582502173
ZH925740,-0.5933540096031741
ZH833751,-0.5932394814157866
ZH096230,-0.5915155057676864
ZH398294,-0.5878971362201917
ZH836869,-0.587442174792529
ZH024497,-0.5874041999803634
ZH911798,-0.5866212519849763
ZH231457,-0.5864131635672742
ZH709768,-0.5859280480820545
ZH092344,-0.5850658603971697
ZH727399,-0.5848208103467617
ZH214898,-0.5840318992954812
ZH940124,-0.5820563239748394
ZH204654,-0.5812604079332273
ZH941282,-0.5800754823136888
ZH826738,-0.578693217897693
ZH713133,-0.5703449383805739
ZH520739,-0.5702623041898693
ZH921252,-0.5687265166590871
ZH416143,-0.5687256647104195
ZH951691,-0.5681514280343616
ZH386348,-0.5681438805123381
ZH820305,-0.5679756314869628
ZH899732,-0.5673311128904814
ZH813939,-0.5636704827026322
ZH947630,-0.5614145769996353
ZH665165,-0.5558237134182532
ZH261296,-0.5550092105838126
ZH871549,-0.554888389269486
ZH878210,-0.5538251068563721
ZH919822,-0.550135949343326
ZH819704,-0.5482409359187731
ZH966187,-0.5481219392220005
ZH811777,-0.5374469821088342
ZH732664,-0.5360343925166297
ZH943212,-0.5355930500888695
ZH213732,-0.5348101143585073
ZH872236,-0.5347540173232874
ZH949049,-0.533926700707916
ZH853245,-0.5338065351234831
ZH649453,-0.5327878528706498
ZH904669,-0.5323281575342655
ZH949881,-0.5300695520146641
ZH730207,-0.5297426507040659
