PortCode,IR,num_week,mean,std
ZH1010332,-0.8076634781640437,8,-0.04131523872629374,0.0511540262043423
ZH950103,-0.6587571288771087,10,-0.03807470564849057,0.05779778916911488
ZH966428,-0.6381748803789439,12,-0.02016100539717126,0.031591662437731476
ZH933916,-0.6368382615334555,44,-0.04853884581180647,0.0762184823740471
ZH979797,-0.6053794364748663,32,-0.02259969894694211,0.03733146120479497
ZH690833,-0.6028352838407363,91,-0.06808171269814883,0.11293584586554395
ZH965439,-0.5769409615803038,4,-0.043498867400603394,0.07539569955555814
ZH955619,-0.5292567070356203,38,-0.05961971015433289,0.1126480011718025
ZH963739,-0.5168338145301251,10,-0.04970803394533119,0.09617798322759281
ZH944589,-0.5002814859239766,4,-0.017561224464120034,0.03510268710361322
ZH923243,-0.4525994914265252,47,-0.03218141061713935,0.07110350591802125
ZH956748,-0.43272037313628686,38,-8.236802028091242e-06,1.903493003667066e-05
ZH843614,-0.42960523301445863,55,-0.04392579549596747,0.10224688183555977
ZH856780,-0.42353905631740674,61,-0.0133425141606025,0.031502441065561174
ZH760734,-0.4220538553216265,79,-0.03772057359340146,0.08937383966000374
ZH933865,-0.40910684320134877,44,-0.026990169866407652,0.06597340111742885
ZH957025,-0.40358842266151085,14,-0.00904661057392658,0.02241543628597583
ZH918666,-0.4032560175584881,34,-0.029851371490749998,0.07402585501757668
ZH923822,-0.397339414628712,28,-0.007373195439402507,0.01855641592035938
ZH906134,-0.3879743308935242,23,-0.020454236052952365,0.052720591091284935
ZH1010888,-0.37092190606249437,25,-0.014282938667173855,0.03850659244905155
ZH700230,-0.36798845327310375,88,-0.02530377592167137,0.06876241821341088
ZH900442,-0.36554637747052493,27,-0.03699370082403111,0.10120111456176042
ZH957933,-0.36386345829605204,7,-0.023638068430112198,0.06496411742142966
ZH598956,-0.3625644698272314,100,-0.031543494455726025,0.08700106348191558
ZH1001533,-0.36204017268926947,27,-0.016782913424117647,0.0463564949145078
ZH748432,-0.3608633157761801,61,-0.022675826582904336,0.06283771608685397
ZH896819,-0.3594791990846802,53,-0.010932444787101418,0.030411898143030337
ZH416226,-0.35837567660259845,110,-0.011211306643324639,0.03128367067097809
ZH567271,-0.3573695665511661,102,-0.03519474836138316,0.09848277988815306
ZH713735,-0.355295574486001,86,-0.017237671641731,0.048516426546174676
ZH788505,-0.3533027019943801,64,-0.02414181735679734,0.06833182203396045
ZH790762,-0.3442081951524677,68,-0.018512328878404132,0.05378235945313289
ZH625856,-0.33717986339308126,99,-0.02392508399305136,0.07095644369829912
ZH235920,-0.3364292086555051,119,-0.028268457728236888,0.08402498059311808
ZH024592,-0.3357642085810978,133,-0.012147128962278769,0.03617755749968463
ZH927015,-0.3320869604496333,36,-0.014862812886303374,0.04475578585253598
ZH764192,-0.3320653711926424,48,-0.018259973597719466,0.054989093057602315
