SecuCode,FirstIndustryName
002254,石油石化
002154,纺织服装
002174,传媒
002194,通信
300213,通信
601918,煤炭
002212,电力设备
601899,有色金属
002215,基础化工
300280,综合
002639,机械
002645,机械
002673,非银行金融
002638,综合
300324,计算机
300566,电子元器件
603676,医药
600011,电力及公用事业
600012,交通运输
600039,建筑
600050,通信
600064,房地产
600067,房地产
600081,汽车
600082,综合
600099,汽车
600100,计算机
600114,机械
600117,钢铁
600118,国防军工
600132,食品饮料
600133,房地产
600157,煤炭
600158,房地产
600177,纺织服装
600178,汽车
600191,农林牧渔
600192,电力设备
600211,医药
600212,综合
600231,钢铁
600232,纺织服装
600247,商贸零售
600248,建筑
600251,农林牧渔
600267,医药
600268,电力设备
600287,商贸零售
600302,机械
600306,商贸零售
600321,建材
600322,房地产
600343,国防军工
600345,通信
600360,电子元器件
600363,电子元器件
600379,电力设备
600380,医药
600399,国防军工
600400,纺织服装
002515,食品饮料
300155,电子元器件
002526,机械
300165,机械
300223,电子元器件
300164,机械
002557,食品饮料
002539,基础化工
300174,基础化工
002537,汽车
002552,机械
002555,传媒
002553,汽车
300205,通信
601011,煤炭
300189,农林牧渔
603688,电子元器件
300360,电子元器件
002843,机械
002840,食品饮料
601228,交通运输
603038,建材
002867,纺织服装
603179,汽车
300593,通信
300675,房地产
300605,计算机
300639,医药
603679,家电
300671,电子元器件
600422,医药
600426,基础化工
600455,传媒
600456,有色金属
600480,汽车
600481,机械
600499,电力及公用事业
600502,建筑
600518,医药
600519,食品饮料
600538,基础化工
600539,建材
600557,医药
600560,机械
600576,房地产
600577,电力设备
600594,医药
600595,有色金属
600609,汽车
600612,商贸零售
600626,纺织服装
600644,电力及公用事业
600645,医药
600662,交通运输
600663,房地产
600676,汽车
600677,国防军工
600694,商贸零售
600695,非银行金融
600712,商贸零售
600713,医药
600726,电力及公用事业
600727,基础化工
600744,电力及公用事业
600745,房地产
600763,医药
600776,通信
600777,石油石化
600780,电力及公用事业
600794,交通运输
600795,电力及公用事业
600812,医药
600826,商贸零售
600827,商贸零售
600830,商贸零售
600844,基础化工
600845,计算机
600862,国防军工
600863,电力及公用事业
600877,汽车
600880,传媒
600894,机械
600895,房地产
600990,国防军工
600991,汽车
002579,电子元器件
002572,轻工制造
601208,基础化工
300221,基础化工
300240,交通运输
300381,农林牧渔
300232,电子元器件
300234,建材
002778,石油石化
002605,轻工制造
002594,汽车
002604,农林牧渔
002596,建材
002601,基础化工
002801,机械
603979,有色金属
300435,机械
300491,电子元器件
002800,交通运输
300436,医药
600958,非银行金融
601226,建筑
300657,电子元器件
002845,电子元器件
603089,汽车
300650,家电
603580,基础化工
000002,房地产
000008,机械
000018,房地产
000032,电子元器件
000033,餐饮旅游
000056,房地产
000058,房地产
000090,建筑
000100,家电
000421,电力及公用事业
000425,机械
000426,有色金属
000509,建材
000527,家电
000528,机械
000545,基础化工
000546,电力及公用事业
000559,汽车
000560,商贸零售
000582,交通运输
000600,电力及公用事业
000601,电力及公用事业
000616,房地产
000617,非银行金融
000620,房地产
000636,电子元器件
000637,石油石化
000666,非银行金融
000667,房地产
000682,电力设备
000686,非银行金融
000700,汽车
000720,电力及公用事业
000721,餐饮旅游
000737,基础化工
000748,计算机
000766,医药
000791,电力及公用事业
000792,基础化工
000809,房地产
000812,轻工制造
000828,交通运输
000829,通信
000860,食品饮料
000861,商贸零售
000885,建材
000888,餐饮旅游
000902,基础化工
000903,汽车
000923,机械
000925,机械
000948,计算机
000951,汽车
000967,电力及公用事业
000968,石油石化
000988,电子元器件
000989,医药
002225,建材
002228,轻工制造
002227,电力设备
002249,机械
002247,传媒
002256,基础化工
002261,通信
002273,电子元器件
002276,电力设备
002286,农林牧渔
002446,通信
002448,汽车
300254,医药
300256,电子元器件
002717,建筑
002618,电子元器件
300262,电力及公用事业
002617,电力设备
300266,电力及公用事业
300417,机械
300452,医药
601021,交通运输
603726,机械
603015,机械
002786,机械
300384,石油石化
300513,计算机
603909,建筑
603017,建筑
603998,医药
603031,商贸零售
603520,医药
300479,计算机
300464,机械
002763,纺织服装
603515,家电
603556,机械
300472,机械
002155,有色金属
002164,机械
002176,机械
002183,交通运输
002189,电子元器件
002187,商贸零售
002198,医药
002217,电子元器件
002218,电力设备
002220,农林牧渔
002219,医药
002636,电子元器件
300281,机械
300286,电力设备
300295,传媒
300288,通信
002655,传媒
002181,传媒
600000,银行
600031,机械
600035,交通运输
600037,传媒
600052,房地产
600054,餐饮旅游
600077,房地产
600079,医药
600086,商贸零售
600088,传媒
600111,有色金属
600113,房地产
600120,商贸零售
600122,商贸零售
600152,纺织服装
600155,基础化工
600160,基础化工
600162,房地产
600187,电力及公用事业
600189,农林牧渔
600197,食品饮料
600199,食品饮料
600225,房地产
600227,基础化工
600234,综合
600236,电力及公用事业
600262,机械
600265,农林牧渔
600270,交通运输
600272,医药
600297,汽车
600299,基础化工
600301,基础化工
600307,钢铁
600309,基础化工
600335,汽车
600337,轻工制造
600348,煤炭
600350,交通运输
600375,汽车
600377,交通运输
600385,有色金属
600387,石油石化
300445,机械
002519,国防军工
002522,基础化工
300147,医药
300153,电力设备
002702,食品饮料
601933,商贸零售
300160,建材
002544,通信
002541,建筑
300177,计算机
300176,汽车
601700,电力设备
300182,计算机
601789,建筑
300195,机械
002577,计算机
603989,电子元器件
002719,食品饮料
603009,汽车
300403,轻工制造
603023,汽车
603609,农林牧渔
300582,家电
603626,机械
002861,电子元器件
300578,通信
300598,计算机
603133,基础化工
603787,汽车
601952,农林牧渔
603920,电子元器件
300610,基础化工
603331,机械
603488,机械
600419,食品饮料
600421,综合
600428,交通运输
600432,有色金属
600470,基础化工
600476,计算机
600485,通信
600487,通信
600513,医药
600516,建材
600523,汽车
600526,电力及公用事业
600556,房地产
600561,交通运输
600563,电子元器件
600588,计算机
600590,建筑
600592,机械
600597,食品饮料
600599,非银行金融
600622,房地产
600624,综合
600631,商贸零售
600633,传媒
600656,汽车
600658,房地产
600665,房地产
600667,电子元器件
600690,家电
600692,交通运输
600697,商贸零售
600699,汽车
600722,基础化工
600724,房地产
600731,基础化工
600733,房地产
600756,计算机
600758,煤炭
600765,国防军工
600767,房地产
600790,商贸零售
600792,煤炭
600797,通信
600822,商贸零售
600824,商贸零售
600831,传媒
600833,医药
600856,电力及公用事业
600858,商贸零售
600865,商贸零售
600867,医药
600890,房地产
600892,传媒
600960,汽车
002299,农林牧渔
601218,电力设备
300206,医药
601113,石油石化
300372,电力设备
601233,石油石化
601599,传媒
601798,机械
300233,医药
300237,汽车
002593,汽车
300421,机械
002757,机械
300505,基础化工
002779,机械
300565,通信
002831,轻工制造
000006,房地产
000028,医药
000030,综合
000037,电力及公用事业
000039,机械
000078,医药
000089,交通运输
000150,房地产
000153,医药
000156,传媒
000401,建材
000403,医药
000408,钢铁
000410,机械
000504,传媒
000506,房地产
000514,房地产
000516,医药
000539,电力及公用事业
000541,家电
000548,交通运输
000550,汽车
000573,房地产
000585,电力设备
000587,商贸零售
000611,综合
000613,餐饮旅游
000623,医药
000659,轻工制造
000661,医药
000669,电力及公用事业
000671,房地产
000697,有色金属
000702,农林牧渔
000705,医药
000708,钢铁
000731,石油石化
000733,电子元器件
000736,房地产
000750,非银行金融
000752,食品饮料
000785,商贸零售
000795,建材
000797,房地产
000823,电子元器件
000826,电力及公用事业
000833,轻工制造
000836,通信
000881,综合
000883,电力及公用事业
000889,通信
000892,传媒
000917,传媒
000919,医药
000927,汽车
000929,综合
000962,有色金属
000965,房地产
000972,农林牧渔
000975,有色金属
002231,通信
002233,建材
002242,家电
002241,电子元器件
002250,基础化工
601766,机械
601788,非银行金融
002362,计算机
002281,通信
002293,纺织服装
002297,钢铁
603456,医药
002608,机械
603197,汽车
300267,医药
300273,医药
601677,有色金属
002745,电子元器件
300283,电力设备
300530,基础化工
002740,纺织服装
603959,建筑
002761,纺织服装
603318,机械
300398,基础化工
603188,基础化工
603383,计算机
300374,建材
603703,电子元器件
002755,建筑
603025,计算机
002766,计算机
002762,纺织服装
603636,计算机
603986,电子元器件
002760,机械
